composite | 2023-02-03 2023-02-03 06:16:00 Buy: No option snapshot (expiry=2023-02-09, spot=17627.55)
composite | 2023-02-03 2023-02-03 06:17:00 Buy: No option snapshot (expiry=2023-02-09, spot=17634.1)
composite | 2023-02-03 2023-02-03 06:18:00 Buy: No option snapshot (expiry=2023-02-09, spot=17641.3)
composite | 2023-02-03 2023-02-03 06:19:00 Buy: No option snapshot (expiry=2023-02-09, spot=17633.3)
composite | 2023-02-03 2023-02-03 06:20:00 Buy: No option snapshot (expiry=2023-02-09, spot=17638.45)
composite | 2023-02-03 2023-02-03 06:21:00 Buy: No option snapshot (expiry=2023-02-09, spot=17640.1)
composite | 2023-02-03 2023-02-03 06:22:00 Buy: No option snapshot (expiry=2023-02-09, spot=17653.15)
composite | 2023-02-03 2023-02-03 06:23:00 Buy: No option snapshot (expiry=2023-02-09, spot=17659.2)
composite | 2023-02-03 2023-02-03 06:24:00 Buy: No option snapshot (expiry=2023-02-09, spot=17656.0)
composite | 2023-02-03 2023-02-03 06:25:00 Buy: No option snapshot (expiry=2023-02-09, spot=17656.65)
composite | 2023-02-03 2023-02-03 06:26:00 Buy: No option snapshot (expiry=2023-02-09, spot=17665.65)
composite | 2023-02-03 2023-02-03 06:27:00 Buy: No option snapshot (expiry=2023-02-09, spot=17671.35)
composite | 2023-02-03 2023-02-03 06:28:00 Buy: No option snapshot (expiry=2023-02-09, spot=17669.85)
composite | 2023-02-03 2023-02-03 06:29:00 Buy: No option snapshot (expiry=2023-02-09, spot=17663.95)
composite | 2023-02-03 2023-02-03 06:30:00 Buy: No option snapshot (expiry=2023-02-09, spot=17666.85)
composite | 2023-02-03 2023-02-03 06:31:00 Buy: No option snapshot (expiry=2023-02-09, spot=17663.25)
composite | 2023-02-03 2023-02-03 06:32:00 Buy: No option snapshot (expiry=2023-02-09, spot=17678.4)
composite | 2023-02-03 2023-02-03 06:33:00 Buy: No option snapshot (expiry=2023-02-09, spot=17656.75)
composite | 2023-02-03 2023-02-03 06:34:00 Buy: No option snapshot (expiry=2023-02-09, spot=17654.15)
composite | 2023-02-03 2023-02-03 06:50:00 Buy: No option snapshot (expiry=2023-02-09, spot=17683.15)
